[2025-05-24 00:32:26] [INFO] Gọi hàm get_users | user_id: unknown | path: /Users/so-users/ | method: GET | data: {}
[2025-05-24 00:34:19] [INFO] Gọi hàm get_users | user_id: 392fa92f-3361-47c8-9fda-a1de384a6e33 | path: /Users/so-users/ | method: GET | data: {}
[2025-05-24 00:36:24] [log] Gọi hàm create_blog | user_id: unknown | path: /Blogs/so-blogs | method: POST | data: {'name': 'string', 'sumary': 'string', 'imgs': 'string', 'description': 'string', 'category': 'string', 'relateIds': 'string', 'soClassId': ['string'], 'isDeleted': True, 'createdBy': 'string', 'updatedBy': 'string'}
[2025-05-24 00:38:56] [log] Gọi hàm create_blog | user_id: 392fa92f-3361-47c8-9fda-a1de384a6e33 | path: /Blogs/so-blogs | method: POST | data: {'name': 'string', 'sumary': 'string', 'imgs': 'string', 'description': 'string', 'category': 'string', 'relateIds': 'string', 'soClassId': ['string'], 'isDeleted': True, 'createdBy': 'string', 'updatedBy': 'string'}
[2025-05-24 00:39:50] [log] Gọi hàm create_blog | user_id: 392fa92f-3361-47c8-9fda-a1de384a6e33 | path: /Blogs/so-blogs | method: POST | data: {'name': 'string', 'sumary': 'string', 'imgs': 'string', 'description': 'string', 'category': 'string', 'relateIds': 'string', 'soClassId': ['string'], 'isDeleted': True, 'createdBy': 'string', 'updatedBy': 'string'}
[2025-05-24 00:40:35] [log] Gọi hàm create_blog | user_id: 392fa92f-3361-47c8-9fda-a1de384a6e33 | path: /Blogs/so-blogs | method: POST | data: {'name': 'string', 'sumary': 'string', 'imgs': 'string', 'description': 'string', 'category': 'string', 'relateIds': 'string', 'soClassId': ['string'], 'isDeleted': True, 'createdBy': 'string', 'updatedBy': 'string'}
[2025-05-24 00:42:51] [log] Gọi hàm create_blog | name_user: Teacher0 | path: /Blogs/so-blogs | method: POST | data: {'name': 'string', 'sumary': 'string', 'imgs': 'string', 'description': 'string', 'category': 'string', 'relateIds': 'string', 'soClassId': ['string'], 'isDeleted': True, 'createdBy': 'string', 'updatedBy': 'string'}
[2025-05-24 00:51:26] [log] Gọi hàm delete_blog | name_user: Teacher0 | path: /Blogs/so-blogs | method: DELETE | data: {'name': 'hdfgd', 'sumary': 'string', 'imgs': 'string', 'description': 'string', 'category': 'string', 'relateIds': 'string', 'soClassId': ['string'], 'isDeleted': True, 'createdBy': 'string', 'updatedBy': 'string'}
[2025-05-24 00:52:32] [log] Gọi hàm get_blogs | name_user: Teacher0 | path: /Blogs/so-blogs | method: GET | data: {}
[2025-05-24 00:54:38] [log] Gọi hàm get_blogs | name_user: Teacher0 | path: /Blogs/so-blogs | method: GET | data: {}
[2025-05-24 00:58:26] [log] Gọi hàm create_blog | name_user: Teacher0 | path: /Blogs/so-blogs | method: POST | data: {'name': 'hdfgd', 'sumary': 'string', 'imgs': 'string', 'description': 'string', 'category': 'string', 'relateIds': 'string', 'soClassId': ['string'], 'isDeleted': True, 'createdBy': 'string', 'updatedBy': 'string'}
[2025-05-24 00:59:02] [log] Gọi hàm get_blogs | name_user: Teacher0 | path: /Blogs/so-blogs | method: GET | data: {}
[2025-05-24 01:00:18] [log] Gọi hàm get_blogs | name_user: Teacher0 | path: /Blogs/so-blogs | method: GET | data: {}
[2025-05-24 01:00:32] [log] Gọi hàm get_blogs | name_user: Teacher0 | path: /Blogs/so-blogs | method: GET | data: {}
[2025-05-24 01:01:17] [log] Gọi hàm get_blogs | name_user: Teacher0 | path: /Blogs/so-blogs | method: GET | data: {}
[2025-05-24 01:04:05] [log] Gọi hàm update_blog | name_user: Teacher0 | path: /Blogs/so-blogs | method: PATCH | data: {'id': '0d731977-7520-4aa2-bf9c-edcf9cfc246f', 'name': 'Báo'}
[2025-05-24 01:04:43] [log] Gọi hàm delete_blog | name_user: Teacher0 | path: /Blogs/so-blogs | method: DELETE | data: {'id': '0d731977-7520-4aa2-bf9c-edcf9cfc246f'}
[2025-05-24 01:10:37] [log] Gọi hàm delete_blog | name_user: Teacher0 | path: /Blogs/so-blogs | method: DELETE | data: {'id': '0d731977-7520-4aa2-bf9c-edcf9cfc246f'}
[2025-05-24 01:10:45] [log] Gọi hàm get_blogs | name_user: Teacher0 | path: /Blogs/so-blogs | method: GET | data: {}
[2025-05-24 01:21:20] [log] Gọi hàm get_users | name_user: Teacher0 | path: /Users/so-users/ | method: GET | data: {}
[2025-05-24 01:22:55] [log] Gọi hàm delete_user | name_user: Teacher0 | path: /Users/so-users/ | method: DELETE | data: {'id': '1eb78427-a8ed-4be5-9ba2-042b89fad74b'}
[2025-05-24 01:23:14] [log] Gọi hàm get_users | name_user: Teacher0 | path: /Users/so-users/ | method: GET | data: {}
[2025-05-24 13:14:49] [log] Gọi hàm get_classes | name_user: Teacher0 | path: /Classes/so-classes/ | method: GET | data: {}
[2025-05-24 13:16:20] [log] Gọi hàm create_class | name_user: Teacher0 | path: /Classes/so-classes/ | method: POST | data: {'name': 'Da bong'}
[2025-05-24 13:16:28] [log] Gọi hàm get_classes | name_user: Teacher0 | path: /Classes/so-classes/ | method: GET | data: {}
